Number of Slices (#), Z3 Objective (sec), Z3 Objective (STDEV), Z3 Solution Time (sec), Z3 Solution Time (STDEV)
1,0.0056,0.000000,0.02799086570739746,0.005957
2,0.0247,0.000000,0.029517078399658205,0.004689
3,0.0671,0.000000,0.032505369186401366,0.005126
4,0.35369999999999996,0.000000,0.038274526596069336,0.005327
5,1.2315,0.000000,0.05348458290100098,0.012769
6,1.2627000000000004,0.000000,0.062385392189025876,0.014217
7,2.2222999999999997,0.000000,0.7265079259872437,0.144399
8,2.3513,0.000000,0.7216774702072144,0.025678
9,3.6174999999999993,0.000000,3.8639651775360107,1.581730
10,6.3387,0.000000,42.581068348884585,0.870712
